Tell me a bio of Manuel Suárez	['Manuel Suárez']
Tell me a bio of Bruce Johnston	['Bruce Johnston']
Tell me a bio of William Sharkey	['William Sharkey']
Tell me a bio of Vladimir Dolbonosov	['Vladimir Dolbonosov']
Tell me a bio of William Blunt	['William Blunt']
Tell me a bio of John McNair	['John McNair']
Tell me a bio of Jerome Anderson	['Jerome Anderson']
Tell me a bio of Catherine of Valois	['Catherine of Valois']
Tell me a bio of Edward Glass	['Edward Glass']
Tell me a bio of Pieter Nuyts	['Pieter Nuyts']
Tell me a bio of John Whitford	['John Whitford']
Tell me a bio of Jim Eyre	['Jim Eyre']
Tell me a bio of Theudebald	['Theudebald']
Tell me a bio of Joseph Rucker	['Joseph Rucker']
Tell me a bio of Ahmed Ramadan	['Ahmed Ramadan']
Tell me a bio of George Bisset	['George Bisset']
Tell me a bio of Jacques Rémy	['Jacques Rémy']
Tell me a bio of Thomas Catchpole	['Thomas Catchpole']
Tell me a bio of George Mathers	['George Mathers']
Tell me a bio of Peter V of Alexandria	['Peter V of Alexandria']
Tell me a bio of Edward Montgomery	['Edward Montgomery']
Tell me a bio of Colin Anderson	['Colin Anderson']
Tell me a bio of Harold Griffin	['Harold Griffin']
Tell me a bio of Lennart Pettersson	['Lennart Pettersson']
Tell me a bio of James O'Connell	['James O\'Connell']
Tell me a bio of John Sykes	['John Sykes']
Tell me a bio of Jason Martin	['Jason Martin']
Tell me a bio of Les Anderson	['Les Anderson']
Tell me a bio of Mikhail Chekhov	['Mikhail Chekhov']
Tell me a bio of Manaia	['Manaia']
Tell me a bio of Alex Brown	['Alex Brown']
Tell me a bio of Ivan Smiljanić	['Ivan Smiljanić']
Tell me a bio of Nicholas Carr	['Nicholas Carr']
Tell me a bio of Alex Norris	['Alex Norris']
Tell me a bio of Mattia Altobelli	['Mattia Altobelli']
Tell me a bio of John Fyfe	['John Fyfe']
Tell me a bio of Thomas Bonham	['Thomas Bonham']
Tell me a bio of Dede	['Dede']
Tell me a bio of Dick Hanley	['Dick Hanley']
Tell me a bio of György Majláth	['György Majláth']
Tell me a bio of Ramon Martinez	['Ramon Martinez']
Tell me a bio of Charles Hall	['Charles Hall']
Tell me a bio of Humphrey Lloyd	['Humphrey Lloyd']
Tell me a bio of George Whitaker	['George Whitaker']
Tell me a bio of Michael Hurley	['Michael Hurley']
Tell me a bio of Paul Bryant	['Paul Bryant']
Tell me a bio of Jeff Ford	['Jeff Ford']
